id,SalePrice
1,125000
2,155000
3,199900
4,135000
5,165150
6,410000
7,168500
8,170000
9,149000
10,106000
11,119200
12,133000
13,475000
14,169000
15,290000
16,65000
17,201800
18,80000
19,127500
20,113000
21,143000
22,119000
23,150000
24,135000
25,85000
26,145000
27,325000
28,305000
29,385000
30,274000
31,134500
32,131000
33,177439
34,468000
35,124500
36,290000
37,128500
38,51689
39,107500
40,210000
41,170000
42,131250
43,335000
44,132000
45,125000
46,126000
47,91300
48,62500
49,145000
50,150000
51,269500
52,133000
53,150000
54,227875
55,157500
56,235000
57,145000
58,170000
59,162000
60,221370
61,394432
62,188000
63,112000
64,84500
65,137000
66,410000
67,129850
68,39300
69,128000
70,204500
71,194201
72,130000
73,113000
74,140000
75,115000
76,185000
77,140000
78,175900
79,204750
80,149900
81,97900
82,120000
83,243500
84,117000
85,106900
86,180000
87,135000
88,140750
89,239799
90,277000
91,108000
92,132000
93,154000
94,78000
95,255500
96,78500
97,263000
98,240000
99,327000
100,275000
101,89900
102,82375
103,110000
104,92900
105,122500
106,190000
107,175000
108,87550
109,128600
110,161000
111,123000
112,232000
113,184000
114,91900
115,300000
116,120000
117,248328
118,213000
119,315750
120,119900
121,591587
122,235500
123,150500
124,154400
125,124000
126,235000
127,135000
128,143000
129,250000
130,220000
131,185000
132,156000
133,161500
134,137900
135,320000
136,188900
137,178000
138,167000
139,98300
140,235000
141,412500
142,280000
143,110000
144,145000
145,369900
146,153000
147,191750
148,135960
149,170000
150,164000
151,405000
152,143500
153,172000
154,123000
155,118858
156,153000
157,165500
158,139000
159,133500
160,148500
161,97000
162,214000
163,207000
164,190000
165,119000
166,153000
167,162500
168,182000
169,219500
170,224000
171,131000
172,89000
173,179900
174,276000
175,100000
176,93000
177,215000
178,178000
179,210250
180,200000
181,189000
182,82500
183,382500
184,156000
185,185900
186,175900
187,159500
188,146000
189,159000
190,113000
191,115000
192,216000
193,219210
194,492000
195,225000
196,162500
197,167300
198,150000
199,285000
200,158000
201,274900
202,137500
203,127000
204,372402
205,154000
206,91000
207,124000
208,149000
209,263550
210,167240
211,243000
212,184000
213,103400
214,167900
215,112000
216,93000
217,135000
218,129250
219,323262
220,125000
221,61000
222,125500
223,110000
224,153600
225,192000
226,205000
227,123000
228,137000
229,87000
230,138500
231,103000
232,116000
233,99000
234,119000
235,180000
236,615000
237,152000
238,377426
239,234000
240,225000
241,209500
242,128500
243,158000
244,244600
245,129800
246,189900
247,207500
248,128000
249,120000
250,174000
